r [A]	U [eV]
11,63	-0,013471074
11,64	-0,013401862
11,65	-0,013333064
11,66	-0,013264677
11,67	-0,013196699
11,68	-0,013129127
11,69	-0,013061958
11,7	-0,012995189
11,71	-0,012928818
11,72	-0,012862841
11,73	-0,012797257
11,74	-0,012732062
11,75	-0,012667254
11,76	-0,01260283
11,77	-0,012538788
11,78	-0,012475125
11,79	-0,012411839
11,8	-0,012348926
11,81	-0,012286385
11,82	-0,012224213
11,83	-0,012162407
11,84	-0,012100966
11,85	-0,012039885
11,86	-0,011979164
11,87	-0,0119188
11,88	-0,01185879
11,89	-0,011799132
11,9	-0,011739824
11,91	-0,011680863
11,92	-0,011622247
11,93	-0,011563973
11,94	-0,01150604
11,95	-0,011448445
11,96	-0,011391186
11,97	-0,01133426
11,98	-0,011277666
11,99	-0,011221401
12	-0,011165463
12,01	-0,011109849
12,02	-0,011054559
12,03	-0,010999589
12,04	-0,010944937
12,05	-0,010890602
12,06	-0,010836581
12,07	-0,010782872
12,08	-0,010729474
12,09	-0,010676383
12,1	-0,010623598
12,11	-0,010571118
12,12	-0,010518939
12,13	-0,010467061
12,14	-0,01041548
12,15	-0,010364196
12,16	-0,010313206
12,17	-0,010262508
12,18	-0,0102121
12,19	-0,010161981
12,2	-0,010112148
12,21	-0,010062601
12,22	-0,010013336
12,23	-0,009964351
12,24	-0,009915647
12,25	-0,009867219
12,26	-0,009819067
12,27	-0,009771189
12,28	-0,009723583
12,29	-0,009676247
12,3	-0,009629179
12,31	-0,009582378
12,32	-0,009535843
12,33	-0,00948957
12,34	-0,009443559
12,35	-0,009397808
12,36	-0,009352316
12,37	-0,00930708
12,38	-0,009262098
12,39	-0,00921737
12,4	-0,009172894
12,41	-0,009128668
12,42	-0,00908469
12,43	-0,009040959
12,44	-0,008997473
12,45	-0,008954231
12,46	-0,008911232
12,47	-0,008868472
12,48	-0,008825952
12,49	-0,008783669
12,5	-0,008741623
12,51	-0,008699811
12,52	-0,008658231
12,53	-0,008616884
12,54	-0,008575766
12,55	-0,008534877
12,56	-0,008494215
12,57	-0,008453779
12,58	-0,008413568
12,59	-0,008373579
12,6	-0,008333811
12,61	-0,008294264
